"행정구역","2011년12월_총인구수","2011년12월_세대수","2011년12월_세대당 인구","2011년12월_남자 인구수","2011년12월_여자 인구수","2011년12월_남여 비율"
"서울특별시 용산구 원효로제2동(1117057000)","15,815","6,093","          2.60","7,566","8,249","          0.92"
"서울특별시 용산구 효창동(1117058000)","11,373","4,532","          2.51","5,581","5,792","          0.96"
"서울특별시 용산구 용문동(1117059000)","13,311","5,232","          2.54","6,531","6,780","          0.96"
"서울특별시 용산구 한강로동(1117062500)","15,518","7,903","          1.96","7,802","7,716","          1.01"
"서울특별시 용산구 이촌제1동(1117063000)","27,107","9,997","          2.71","12,681","14,426","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","10,482","4,381","          2.39","5,029","5,453","          0.92"
"서울특별시 용산구 이태원제1동(1117065000)","8,556","4,503","          1.90","3,940","4,616","          0.85"
"서울특별시 용산구 이태원제2동(1117066000)","11,213","5,428","          2.07","5,230","5,983","          0.87"
"서울특별시 용산구 한남동(1117068500)","23,808","12,296","          1.94","11,492","12,316","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","14,186","5,608","          2.53","6,850","7,336","          0.93"
"서울특별시 용산구 보광동(1117070000)","17,825","8,707","          2.05","8,625","9,200","          0.94"
"서울특별시 성동구 (1120000000)","300,711","126,148","          2.38","150,655","150,056","          1.00"
"서울특별시 성동구 왕십리제2동(1120052000)","17,386","7,076","          2.46","8,623","8,763","          0.98"
"서울특별시 성동구 왕십리도선동(1120053500)","12,802","5,726","          2.24","6,376","6,426","          0.99"
"서울특별시 성동구 마장동(1120054000)","25,495","10,248","          2.49","12,789","12,706","          1.01"
"서울특별시 성동구 사근동(1120055000)","10,709","5,872","          1.82","5,706","5,003","          1.14"
"서울특별시 성동구 행당제1동(1120056000)","17,750","7,573","          2.34","8,740","9,010","          0.97"
"서울특별시 성동구 행당제2동(1120057000)","27,015","9,687","          2.79","12,963","14,052","          0.92"
"서울특별시 성동구 응봉동(1120058000)","17,581","6,585","          2.67","8,461","9,120","          0.93"
"서울특별시 성동구 금호1가동(1120059000)","16,114","6,318","          2.55","7,893","8,221","          0.96"
"서울특별시 성동구 금호2.3가동(1120061500)","20,002","8,229","          2.43","9,718","10,284","          0.94"
"서울특별시 성동구 금호4가동(1120062000)","14,969","6,267","          2.39","7,389","7,580","          0.97"
"서울특별시 성동구 옥수동(1120064500)","21,755","9,009","          2.41","10,621","11,134","          0.95"
"서울특별시 성동구 성수1가제1동(1120065000)","18,301","7,453","          2.46","9,385","8,916","          1.05"
"서울특별시 성동구 성수1가제2동(1120066000)","18,712","8,122","          2.30","9,469","9,243","          1.02"
"서울특별시 성동구 성수2가제1동(1120067000)","20,998","9,230","          2.27","10,902","10,096","          1.08"
"서울특별시 성동구 성수2가제3동(1120069000)","11,931","5,339","          2.23","6,193","5,738","          1.08"
"서울특별시 성동구 송정동(1120072000)","12,308","5,691","          2.16","6,515","5,793","          1.12"
"서울특별시 성동구 용답동(1120079000)","16,883","7,723","          2.19","8,912","7,971","          1.12"
"서울특별시 광진구 (1121500000)","371,936","158,472","          2.35","184,103","187,833","          0.98"
"서울특별시 광진구 화양동(1121571000)","21,109","12,754","          1.66","10,440","10,669","          0.98"
"서울특별시 광진구 군자동(1121573000)","21,388","10,155","          2.11","10,836","10,552","          1.03"
"서울특별시 광진구 중곡제1동(1121574000)","16,769","7,690","          2.18","8,366","8,403","          1.00"
"서울특별시 광진구 중곡제2동(1121575000)","22,997","9,607","          2.39","11,317","11,680","          0.97"
"서울특별시 광진구 중곡제3동(1121576000)","19,211","8,258","          2.33","9,665","9,546","          1.01"
"서울특별시 광진구 중곡제4동(1121577000)","32,003","12,622","          2.54","15,921","16,082","          0.99"
"서울특별시 광진구 능동(1121578000)","11,062","5,531","          2.00","5,254","5,808","          0.90"
"서울특별시 광진구 광장동(1121581000)","35,406","11,575","          3.06","17,317","18,089","          0.96"
"서울특별시 광진구 자양제1동(1121582000)","24,583","11,232","          2.19","12,202","12,381","          0.99"
"서울특별시 광진구 자양제2동(1121583000)","29,216","11,614","          2.52","14,622","14,594","          1.00"
"서울특별시 광진구 자양제3동(1121584000)","32,046","11,694","          2.74","15,738","16,308","          0.97"
"서울특별시 광진구 자양제4동(1121584700)","26,169","12,566","          2.08","13,279","12,890","          1.03"
"서울특별시 광진구 구의제1동(1121585000)","22,888","10,883","          2.10","11,081","11,807","          0.94"
"서울특별시 광진구 구의제2동(1121586000)","26,931","10,730","          2.51","13,392","13,539","          0.99"
"서울특별시 광진구 구의제3동(1121587000)","30,158","11,561","          2.61","14,673","15,485","          0.95"
"서울특별시 동대문구 (1123000000)","365,486","157,823","          2.32","183,925","181,561","          1.01"
"서울특별시 동대문구 용신동(1123053600)","32,463","16,016","          2.03","16,846","15,617","          1.08"
"서울특별시 동대문구 제기동(1123054500)","28,064","13,046","          2.15","14,341","13,723","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","27,299","12,888","          2.12","14,087","13,212","          1.07"
"서울특별시 동대문구 전농제2동(1123057000)","21,500","7,774","          2.77","10,503","10,997","          0.96"
"서울특별시 동대문구 답십리제1동(1123060000)","20,534","8,849","          2.32","10,339","10,195","          1.01"
"서울특별시 동대문구 답십리제2동(1123061000)","32,403","12,277","          2.64","16,103","16,300","          0.99"
"서울특별시 동대문구 장안제1동(1123065000)","37,188","14,731","          2.52","18,796","18,392","          1.02"
"서울특별시 동대문구 장안제2동(1123066000)","32,901","12,958","          2.54","16,674","16,227","          1.03"
"서울특별시 동대문구 청량리동(1123070500)","24,628","10,846","          2.27","12,358","12,270","          1.01"
"서울특별시 동대문구 회기동(1123071000)","11,224","5,769","          1.95","5,443","5,781","          0.94"
"서울특별시 동대문구 휘경제1동(1123072000)","17,033","8,135","          2.09","8,531","8,502","          1.00"
"서울특별시 동대문구 휘경제2동(1123073000)","25,010","10,181","          2.46","12,321","12,689","          0.97"
"서울특별시 동대문구 이문제1동(1123074000)","31,925","15,544","          2.05","15,977","15,948","          1.00"
"서울특별시 동대문구 이문제2동(1123075000)","23,314","8,809","          2.65","11,606","11,708","          0.99"
"서울특별시 중랑구 (1126000000)","423,706","175,115","          2.42","212,291","211,415","          1.00"
"서울특별시 중랑구 면목제2동(1126052000)","28,410","12,233","          2.32","14,377","14,033","          1.02"
"서울특별시 중랑구 면목제4동(1126054000)","23,265","10,134","          2.30","11,510","11,755","          0.98"
"서울특별시 중랑구 면목제5동(1126055000)","14,375","6,208","          2.32","7,394","6,981","          1.06"
"서울특별시 중랑구 면목본동(1126056500)","36,808","16,210","          2.27","18,437","18,371","          1.00"
"서울특별시 중랑구 면목제7동(1126057000)","26,138","10,804","          2.42","13,037","13,101","          1.00"
"서울특별시 중랑구 면목제3.8동(1126057500)","29,767","12,785","          2.33","14,933","14,834","          1.01"
"서울특별시 중랑구 상봉제1동(1126058000)","25,945","9,369","          2.77","12,829","13,116","          0.98"
"서울특별시 중랑구 상봉제2동(1126059000)","18,652","9,131","          2.04","9,517","9,135","          1.04"
"서울특별시 중랑구 중화제1동(1126060000)","21,652","8,327","          2.60","10,806","10,846","          1.00"
"서울특별시 중랑구 중화제2동(1126061000)","31,261","14,657","          2.13","16,101","15,160","          1.06"
"서울특별시 중랑구 묵제1동(1126062000)","35,809","13,546","          2.64","17,654","18,155","          0.97"
"서울특별시 중랑구 묵제2동(1126063000)","20,157","8,449","          2.39","10,077","10,080","          1.00"
"서울특별시 중랑구 망우본동(1126065500)","34,146","14,487","          2.36","17,316","16,830","          1.03"
"서울특별시 중랑구 망우제3동(1126066000)","19,566","8,382","          2.33","9,846","9,720","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","32,290","11,060","          2.92","15,995","16,295","          0.98"
"서울특별시 중랑구 신내2동(1126069000)","25,465","9,333","          2.73","12,462","13,003","          0.96"
"서울특별시 성북구 (1129000000)","485,171","199,398","          2.43","239,726","245,445","          0.98"
"서울특별시 성북구 성북동(1129052500)","19,220","8,718","          2.20","9,248","9,972","          0.93"
"서울특별시 성북구 삼선동(1129055500)","27,315","12,272","          2.23","13,397","13,918","          0.96"
"서울특별시 성북구 동선동(1129057500)","16,132","8,292","          1.95","7,300","8,832","          0.83"
"서울특별시 성북구 돈암제1동(1129058000)","16,691","6,340","          2.63","8,078","8,613","          0.94"
"서울특별시 성북구 돈암제2동(1129059000)","24,056","8,221","          2.93","11,675","12,381","          0.94"
"서울특별시 성북구 안암동(1129060000)","16,933","8,845","          1.91","8,610","8,323","          1.03"
"서울특별시 성북구 보문동(1129061000)","14,569","6,893","          2.11","7,270","7,299","          1.00"
"서울특별시 성북구 정릉제1동(1129062000)","20,503","7,710","          2.66","9,948","10,555","          0.94"
"서울특별시 성북구 정릉제2동(1129063000)","24,692","9,678","          2.55","12,243","12,449","          0.98"
"서울특별시 성북구 정릉제3동(1129064000)","17,993","7,989","          2.25","9,000","8,993","          1.00"
"서울특별시 성북구 정릉제4동(1129065000)","28,061","10,933","          2.57","13,816","14,245","          0.97"
"서울특별시 성북구 길음제1동(1129066000)","37,168","12,974","          2.86","18,173","18,995","          0.96"
"서울특별시 성북구 길음제2동(1129068500)","20,450","9,028","          2.27","10,107","10,343","          0.98"
"서울특별시 성북구 종암동(1129070500)","43,238","17,495","          2.47","21,547","21,691","          0.99"
"서울특별시 성북구 월곡제1동(1129071500)","29,057","11,076","          2.62","14,419","14,638","          0.99"
"서울특별시 성북구 월곡제2동(1129072500)","21,614","8,752","          2.47","10,681","10,933","          0.98"
"서울특별시 성북구 장위제1동(1129076000)","26,603","10,556","          2.52","13,259","13,344","          0.99"
"서울특별시 성북구 장위제2동(1129077000)","23,217","9,563","          2.43","11,749","11,468","          1.02"
"서울특별시 성북구 장위제3동(1129078000)","19,495","8,057","          2.42","9,975","9,520","          1.05"
"서울특별시 성북구 석관동(1129081000)","38,164","16,006","          2.38","19,231","18,933","          1.02"
"서울특별시 강북구 (1130500000)","345,054","142,527","          2.42","170,906","174,148","          0.98"
"서울특별시 강북구 삼양동(1130553400)","32,140","13,254","          2.42","16,104","16,036","          1.00"
"서울특별시 강북구 미아동(1130553500)","24,058","10,557","          2.28","12,007","12,051","          1.00"
"서울특별시 강북구 송중동(1130554500)","35,199","14,577","          2.41","17,180","18,019","          0.95"
"서울특별시 강북구 송천동(1130555500)","32,535","14,266","          2.28","16,298","16,237","          1.00"
"서울특별시 강북구 삼각산동(1130557500)","32,364","11,328","          2.86","15,881","16,483","          0.96"
"서울특별시 강북구 번제1동(1130559000)","20,760","9,568","          2.17","10,332","10,428","          0.99"
"서울특별시 강북구 번제2동(1130560000)","20,116","8,066","          2.49","9,919","10,197","          0.97"
"서울특별시 강북구 번제3동(1130560600)","21,454","7,853","          2.73","10,372","11,082","          0.94"
"서울특별시 강북구 수유제1동(1130561000)","23,501","9,981","          2.35","11,893","11,608","          1.02"
"서울특별시 강북구 수유제2동(1130562000)","23,574","9,295","          2.54","11,630","11,944","          0.97"
"서울특별시 강북구 수유제3동(1130563000)","23,940","11,035","          2.17","11,945","11,995","          1.00"
"서울특별시 강북구 우이동(1130564500)","21,678","8,873","          2.44","10,787","10,891","          0.99"
"서울특별시 강북구 인수동(1130566000)","33,735","13,874","          2.43","16,558","17,177","          0.96"
"서울특별시 도봉구 (1132000000)","365,573","139,348","          2.62","181,004","184,569","          0.98"
"서울특별시 도봉구 창제1동(1132051100)","28,574","10,960","          2.61","13,942","14,632","          0.95"
"서울특별시 도봉구 창제2동(1132051200)","31,609","12,022","          2.63","15,646","15,963","          0.98"
"서울특별시 도봉구 창제3동(1132051300)","16,089","6,653","          2.42","8,114","7,975","          1.02"
"서울특별시 도봉구 창제4동(1132051400)","31,217","11,303","          2.76","15,189","16,028","          0.95"
"서울특별시 도봉구 창제5동(1132051500)","27,978","10,117","          2.77","13,813","14,165","          0.98"
"서울특별시 도봉구 도봉제1동(1132052100)","24,880","10,661","          2.33","12,709","12,171","          1.04"
"서울특별시 도봉구 도봉제2동(1132052200)","31,621","12,008","          2.63","15,717","15,904","          0.99"
"서울특별시 도봉구 쌍문제1동(1132066000)","22,411","8,664","          2.59","10,975","11,436","          0.96"
"서울특별시 도봉구 쌍문제2동(1132067000)","21,850","8,599","          2.54","10,747","11,103","          0.97"
"서울특별시 도봉구 쌍문제3동(1132068000)","18,711","7,622","          2.45","9,180","9,531","          0.96"
"서울특별시 도봉구 쌍문제4동(1132068100)","21,893","7,589","          2.88","10,621","11,272","          0.94"
"서울특별시 도봉구 방학제1동(1132069000)","32,122","12,391","          2.59","16,119","16,003","          1.01"
"서울특별시 도봉구 방학제2동(1132070000)","24,161","9,802","          2.46","12,273","11,888","          1.03"
"서울특별시 도봉구 방학제3동(1132071000)","32,457","10,957","          2.96","15,959","16,498","          0.97"
"서울특별시 노원구 (1135000000)","603,930","225,104","          2.68","295,551","308,379","          0.96"
"서울특별시 노원구 월계1동(1135056000)","23,634","9,635","          2.45","12,080","11,554","          1.05"
"서울특별시 노원구 월계2동(1135057000)","31,095","12,461","          2.50","15,212","15,883","          0.96"
"서울특별시 노원구 월계3동(1135058000)","36,430","13,746","          2.65","17,746","18,684","          0.95"
"서울특별시 노원구 공릉1동(1135059500)","40,384","16,525","          2.44","19,911","20,473","          0.97"
"서울특별시 노원구 공릉2동(1135060000)","46,176","17,085","          2.70","22,918","23,258","          0.99"
"서울특별시 노원구 하계1동(1135061100)","31,009","11,423","          2.71","15,042","15,967","          0.94"
"서울특별시 노원구 하계2동(1135061200)","26,143","8,799","          2.97","12,757","13,386","          0.95"
"서울특별시 노원구 중계본동(1135061900)","30,330","10,080","          3.01","14,990","15,340","          0.98"
"서울특별시 노원구 중계1동(1135062100)","30,730","9,568","          3.21","15,090","15,640","          0.96"
"서울특별시 노원구 중계4동(1135062400)","22,790","8,354","          2.73","11,181","11,609","          0.96"
"서울특별시 노원구 중계2.3동(1135062500)","42,608","15,707","          2.71","20,082","22,526","          0.89"
"서울특별시 노원구 상계1동(1135063000)","44,378","15,722","          2.82","21,938","22,440","          0.98"
"서울특별시 노원구 상계2동(1135064000)","22,944","8,728","          2.63","11,387","11,557","          0.99"
"서울특별시 노원구 상계3.4동(1135066500)","39,956","16,621","          2.40","20,191","19,765","          1.02"
"서울특별시 노원구 상계5동(1135067000)","24,497","9,609","          2.55","11,997","12,500","          0.96"
"서울특별시 노원구 상계6.7동(1135069500)","37,384","14,470","          2.58","17,689","19,695","          0.90"
"서울특별시 노원구 상계8동(1135070000)","27,430","9,638","          2.85","13,190","14,240","          0.93"
"서울특별시 노원구 상계9동(1135071000)","25,139","8,991","          2.80","12,255","12,884","          0.95"
"서울특별시 노원구 상계10동(1135072000)","20,873","7,942","          2.63","9,895","10,978","          0.90"
"서울특별시 은평구 (1138000000)","493,634","197,582","          2.50","242,779","250,855","          0.97"
"서울특별시 은평구 녹번동(1138051000)","33,630","14,773","          2.28","16,336","17,294","          0.94"
"서울특별시 은평구 불광제1동(1138052000)","41,694","16,646","          2.50","20,383","21,311","          0.96"
"서울특별시 은평구 불광제2동(1138053000)","30,699","13,377","          2.29","15,151","15,548","          0.97"
"서울특별시 은평구 갈현제1동(1138055100)","26,606","11,010","          2.42","13,153","13,453","          0.98"
"서울특별시 은평구 갈현제2동(1138055200)","28,215","10,950","          2.58","13,664","14,551","          0.94"
"서울특별시 은평구 구산동(1138056000)","33,947","12,159","          2.79","17,461","16,486","          1.06"
"서울특별시 은평구 대조동(1138057000)","31,449","13,772","          2.28","15,146","16,303","          0.93"
"서울특별시 은평구 응암제1동(1138058000)","32,168","13,553","          2.37","15,766","16,402","          0.96"
"서울특별시 은평구 응암제2동(1138059000)","19,765","8,644","          2.29","9,852","9,913","          0.99"
"서울특별시 은평구 응암제3동(1138060000)","27,635","11,971","          2.31","13,675","13,960","          0.98"
"서울특별시 은평구 역촌동(1138062500)","48,500","19,048","          2.55","23,493","25,007","          0.94"
"서울특별시 은평구 신사제1동(1138063100)","27,931","10,788","          2.59","13,701","14,230","          0.96"
"서울특별시 은평구 신사제2동(1138063200)","23,546","9,140","          2.58","11,846","11,700","          1.01"
"서울특별시 은평구 증산동(1138064000)","21,434","8,441","          2.54","10,745","10,689","          1.01"
"서울특별시 은평구 수색동(1138065000)","20,155","8,159","          2.47","10,102","10,053","          1.00"
"서울특별시 은평구 진관동(1138069000)","46,260","15,151","          3.05","22,305","23,955","          0.93"
"서울특별시 서대문구 (1141000000)","314,852","134,730","          2.34","154,033","160,819","          0.96"
"서울특별시 서대문구 천연동(1141052000)","20,314","8,568","          2.37","9,918","10,396","          0.95"
"서울특별시 서대문구 북아현동(1141055500)","11,450","5,264","          2.18","5,520","5,930","          0.93"
"서울특별시 서대문구 충현동(1141056500)","21,420","9,858","          2.17","10,578","10,842","          0.98"
"서울특별시 서대문구 신촌동(1141058500)","18,257","10,522","          1.74","8,553","9,704","          0.88"
"서울특별시 서대문구 연희동(1141061500)","41,572","18,920","          2.20","20,308","21,264","          0.96"
"서울특별시 서대문구 홍제제1동(1141062000)","27,908","11,564","          2.41","13,512","14,396","          0.94"
"서울특별시 서대문구 홍제제3동(1141064000)","20,598","8,509","          2.42","10,084","10,514","          0.96"
"서울특별시 서대문구 홍제제2동(1141065500)","16,137","6,249","          2.58","7,740","8,397","          0.92"
"서울특별시 서대문구 홍은제1동(1141066000)","26,585","10,553","          2.52","13,073","13,512","          0.97"
"서울특별시 서대문구 홍은제2동(1141068500)","30,066","12,061","          2.49","14,878","15,188","          0.98"
"서울특별시 서대문구 남가좌제1동(1141069000)","4,236","2,019","          2.10","2,142","2,094","          1.02"
"서울특별시 서대문구 남가좌제2동(1141070000)","31,082","12,908","          2.41","15,297","15,785","          0.97"
"서울특별시 서대문구 북가좌제1동(1141071000)","10,392","4,031","          2.58","5,222","5,170","          1.01"
"서울특별시 서대문구 북가좌제2동(1141072000)","34,835","13,704","          2.54","17,208","17,627","          0.98"
"서울특별시 마포구 (1144000000)","389,493","168,640","          2.31","189,243","200,250","          0.95"
"서울특별시 마포구 아현동(1144055500)","19,065","8,240","          2.31","9,263","9,802","          0.95"
"서울특별시 마포구 공덕동(1144056500)","36,642","16,114","          2.27","17,967","18,675","          0.96"
"서울특별시 마포구 도화동(1144058500)","23,503","9,445","          2.49","11,346","12,157","          0.93"
"서울특별시 마포구 용강동(1144059000)","19,462","7,955","          2.45","9,365","10,097","          0.93"
"서울특별시 마포구 대흥동(1144060000)","14,536","8,430","          1.72","7,113","7,423","          0.96"
"서울특별시 마포구 염리동(1144061000)","18,063","8,338","          2.17","8,956","9,107","          0.98"
"서울특별시 마포구 신수동(1144063000)","23,177","9,803","          2.36","11,439","11,738","          0.97"
"서울특별시 마포구 서강동(1144065500)","25,480","11,633","          2.19","12,219","13,261","          0.92"
"서울특별시 마포구 서교동(1144066000)","28,171","15,467","          1.82","13,111","15,060","          0.87"
"서울특별시 마포구 합정동(1144068000)","20,840","9,390","          2.22","10,184","10,656","          0.96"
"서울특별시 마포구 망원제1동(1144069000)","24,451","10,700","          2.29","12,002","12,449","          0.96"
"서울특별시 마포구 망원제2동(1144070000)","21,567","8,344","          2.58","10,533","11,034","          0.95"
"서울특별시 마포구 연남동(1144071000)","19,311","9,015","          2.14","9,292","10,019","          0.93"
"서울특별시 마포구 성산제1동(1144072000)","20,882","8,825","          2.37","10,189","10,693","          0.95"
"서울특별시 마포구 성산제2동(1144073000)","41,287","15,659","          2.64","20,031","21,256","          0.94"
"서울특별시 마포구 상암동(1144074000)","33,056","11,282","          2.93","16,233","16,823","          0.96"
"서울특별시 양천구 (1147000000)","500,210","182,677","          2.74","248,927","251,283","          0.99"
"서울특별시 양천구 목1동(1147051000)","33,214","10,736","          3.09","16,179","17,035","          0.95"
"서울특별시 양천구 목2동(1147052000)","31,627","12,183","          2.60","15,685","15,942","          0.98"
"서울특별시 양천구 목3동(1147053000)","23,239","9,213","          2.52","11,466","11,773","          0.97"
"서울특별시 양천구 목4동(1147054000)","28,775","10,105","          2.85","14,408","14,367","          1.00"
"서울특별시 양천구 목5동(1147055000)","46,046","14,339","          3.21","22,952","23,094","          0.99"
"서울특별시 양천구 신월1동(1147056000)","24,812","10,453","          2.37","12,793","12,019","          1.06"
"서울특별시 양천구 신월2동(1147057000)","20,523","7,673","          2.67","10,233","10,290","          0.99"
"서울특별시 양천구 신월3동(1147058000)","18,487","8,216","          2.25","9,593","8,894","          1.08"
"서울특별시 양천구 신월4동(1147059000)","19,269","6,834","          2.82","9,613","9,656","          1.00"
"서울특별시 양천구 신월5동(1147060000)","16,105","6,212","          2.59","7,979","8,126","          0.98"
"서울특별시 양천구 신월6동(1147061000)","13,406","5,289","          2.53","6,808","6,598","          1.03"
"서울특별시 양천구 신월7동(1147061100)","25,479","9,608","          2.65","12,734","12,745","          1.00"
"서울특별시 양천구 신정1동(1147062000)","21,689","7,354","          2.95","10,690","10,999","          0.97"
"서울특별시 양천구 신정2동(1147063000)","22,693","7,475","          3.04","11,284","11,409","          0.99"
"서울특별시 양천구 신정3동(1147064000)","57,010","20,884","          2.73","28,232","28,778","          0.98"
"서울특별시 양천구 신정4동(1147065000)","37,084","15,760","          2.35","18,331","18,753","          0.98"
"서울특별시 양천구 신정6동(1147067000)","27,406","8,572","          3.20","13,411","13,995","          0.96"
"서울특별시 양천구 신정7동(1147068000)","33,346","11,771","          2.83","16,536","16,810","          0.98"
"서울특별시 강서구 (1150000000)","569,072","223,490","          2.55","280,274","288,798","          0.97"
"서울특별시 강서구 염창동(1150051000)","42,498","14,376","          2.96","20,957","21,541","          0.97"
"서울특별시 강서구 등촌제1동(1150052000)","21,790","9,205","          2.37","10,778","11,012","          0.98"
"서울특별시 강서구 등촌제2동(1150053000)","22,478","8,117","          2.77","11,294","11,184","          1.01"
"서울특별시 강서구 등촌제3동(1150053500)","37,642","14,721","          2.56","18,017","19,625","          0.92"
"서울특별시 강서구 화곡제1동(1150054000)","51,029","21,640","          2.36","25,410","25,619","          0.99"
"서울특별시 강서구 화곡제2동(1150055000)","20,530","8,083","          2.54","10,142","10,388","          0.98"
"서울특별시 강서구 화곡제3동(1150056000)","24,195","9,026","          2.68","11,802","12,393","          0.95"
"서울특별시 강서구 화곡제4동(1150057000)","23,039","9,541","          2.41","11,465","11,574","          0.99"
"서울특별시 강서구 화곡본동(1150059000)","36,574","14,739","          2.48","18,032","18,542","          0.97"
"서울특별시 강서구 화곡제6동(1150059100)","25,043","9,827","          2.55","12,401","12,642","          0.98"
"서울특별시 강서구 화곡제8동(1150059300)","27,505","10,905","          2.52","13,480","14,025","          0.96"
"서울특별시 강서구 가양제1동(1150060300)","20,628","7,421","          2.78","10,373","10,255","          1.01"
"서울특별시 강서구 가양제2동(1150060400)","18,152","8,011","          2.27","8,749","9,403","          0.93"
"서울특별시 강서구 가양제3동(1150060500)","19,074","7,935","          2.40","9,187","9,887","          0.93"
"서울특별시 강서구 발산제1동(1150061100)","33,207","11,380","          2.92","16,022","17,185","          0.93"
"서울특별시 강서구 우장산동(1150061500)","39,960","14,282","          2.80","19,425","20,535","          0.95"
"서울특별시 강서구 공항동(1150062000)","21,368","9,953","          2.15","10,960","10,408","          1.05"
"서울특별시 강서구 방화제1동(1150063000)","30,780","11,799","          2.61","15,507","15,273","          1.02"
"서울특별시 강서구 방화제2동(1150064000)","25,957","11,055","          2.35","12,855","13,102","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","27,623","11,474","          2.41","13,418","14,205","          0.94"
"서울특별시 구로구 (1153000000)","427,468","171,064","          2.50","215,474","211,994","          1.02"
